id,produto,quantidade,preço,data
1,Camiseta Azul,2,29.90,01/01/2023
2,Calça Jeans Slim,5,80.00,02/01/2023
3,Sapato Social Preto,3,100.00,03/01/2023
4,Meia Algodão Branca,20,5.00,04/01/2023
5,Cinto Couro Marrom,8,15.00,05/01/2023
6,Camisa Polo Listrada,7,40.00,06/01/2023
7,Bermuda Cargo Bege,6,50.00,07/01/2023
8,Tênis Esportivo Nike,4,120.00,08/01/2023
9,Boné Snapback New Era,12,10.00,09/01/2023
10,Casaco Parka Verde Militar,2,150.00,10/01/2023
11,Mochila Executiva Preta,9,60.00,11/01/2023
12,Livro "Aventuras de Sherlock Holmes",15,20.00,12/01/2023
13,Caderno Universitário Capa Dura,18,8.00,13/01/2023
14,Lápis de Escrever HB,30,1.00,14/01/2023
15,Borracha Branca Macia,25,0.50,15/01/2023
16,Cola Bastão Lavável,10,2.50,16/01/2023
17,Régua Plástica Transparente,12,4.00,17/01/2023
18,Pincel Atômico Marcador,8,5.00,18/01/2023
19,Papel Sulfite A4 500 folhas Chamex,6,25.00,19/01/2023
20,Pasta Sanfonada Ofício Preta,4,35.00,20/01/2023
21,Fone de Ouvido Bluetooth JBL,5,80.00,21/01/2023
22,Mouse sem Fio Logitech,7,50.00,22/01/2023
23,Filtro de Linha Clamper,6,30.00,23/01/2023
